trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
243,4,0.6,80,6,0,10.0,0.0
244,4,0.8,80,6,0,10.0,0.0
245,4,1.0,80,6,0,10.0,0.0
246,4,0.2,3,8,0,10.0,0.0
247,4,0.4,3,8,0,10.0,0.0
248,4,0.6,3,8,0,10.0,0.0
249,4,0.8,3,8,0,10.0,0.0
250,4,1.0,3,8,0,10.0,0.0
251,4,0.2,5,8,0,10.0,0.0
252,4,0.4,5,8,0,10.0,0.0
253,4,0.6,5,8,0,10.0,0.0
254,4,0.8,5,8,0,10.0,0.0
255,4,1.0,5,8,0,10.0,0.0
256,4,0.2,10,8,0,10.0,0.0
257,4,0.4,10,8,0,10.0,0.0
258,4,0.6,10,8,0,10.0,0.0
259,4,0.8,10,8,0,10.0,0.0
260,4,1.0,10,8,0,10.0,0.0
261,4,0.2,20,8,0,10.0,0.0
262,4,0.4,20,8,0,10.0,0.0
263,4,0.6,20,8,0,10.0,0.0
264,4,0.8,20,8,0,10.0,0.0
265,4,1.0,20,8,0,10.0,0.0
266,4,0.2,40,8,0,10.0,0.0
267,4,0.4,40,8,0,10.0,0.0
268,4,0.6,40,8,0,10.0,0.0
269,4,0.8,40,8,0,10.0,0.0
270,4,1.0,40,8,0,10.0,0.0
271,4,0.2,60,8,0,10.0,0.0
272,4,0.4,60,8,0,10.0,0.0
273,4,0.6,60,8,0,10.0,0.0
274,4,0.8,60,8,0,10.0,0.0
275,4,1.0,60,8,0,10.0,0.0
276,4,0.2,80,8,0,10.0,0.0
277,4,0.4,80,8,0,10.0,0.0
278,4,0.6,80,8,0,10.0,0.0
279,4,0.8,80,8,0,10.0,0.0
280,4,1.0,80,8,0,10.0,0.0
281,4,0.2,3,10,0,10.0,0.0
282,4,0.4,3,10,0,10.0,0.0
283,4,0.6,3,10,0,10.0,0.0
284,4,0.8,3,10,0,10.0,0.0
285,4,1.0,3,10,0,10.0,0.0
286,4,0.2,5,10,0,10.0,0.0
